Ohio Valley Climate Region, Average Temperature, January
189501,24.6,-5.1
189601,31.2,1.5
189701,27.1,-2.6
189801,34.2,4.5
189901,29.4,-0.3
190001,32.9,3.2
190101,32.1,2.4
190201,29.0,-0.7
190301,29.4,-0.3
190401,24.9,-4.8
190501,23.0,-6.7
190601,34.9,5.2
190701,35.7,6.0
190801,30.9,1.2
190901,32.9,3.2
191001,29.7,0.0
191101,34.2,4.5
191201,19.7,-10.0
191301,35.1,5.4
191401,35.2,5.5
191501,27.4,-2.3
191601,34.3,4.6
191701,31.3,1.6
191801,16.0,-13.7
191901,33.1,3.4
192001,26.4,-3.3
192101,35.2,5.5
192201,28.4,-1.3
192301,35.6,5.9
192401,25.3,-4.4
192501,29.3,-0.4
192601,30.0,0.3
192701,29.8,0.1
192801,30.7,1.0
192901,26.8,-2.9
193001,25.9,-3.8
193101,33.4,3.7
193201,38.4,8.7
193301,39.2,9.5
193401,35.0,5.3
193501,31.8,2.1
193601,23.6,-6.1
193701,34.0,4.3
193801,31.0,1.3
193901,35.6,5.9
194001,16.3,-13.4
194101,31.9,2.2
194201,29.0,-0.7
194301,31.0,1.3
194401,33.4,3.7
194501,26.5,-3.2
194601,32.0,2.3
194701,34.7,5.0
194801,23.2,-6.5
194901,34.9,5.2
195001,38.2,8.5
195101,31.6,1.9
195201,35.2,5.5
195301,35.0,5.3
195401,31.6,1.9
195501,29.9,0.2
195601,28.2,-1.5
195701,26.6,-3.1
195801,28.7,-1.0
195901,26.6,-3.1
196001,32.1,2.4
196101,26.4,-3.3
196201,25.8,-3.9
196301,21.8,-7.9
196401,32.3,2.6
196501,30.8,1.1
196601,24.7,-5.0
196701,33.5,3.8
196801,26.8,-2.9
196901,27.7,-2.0
197001,22.4,-7.3
197101,26.5,-3.2
197201,30.2,0.5
197301,31.0,1.3
197401,33.1,3.4
197501,33.6,3.9
197601,26.9,-2.8
197701,14.7,-15.0
197801,19.8,-9.9
197901,19.7,-10.0
198001,30.7,1.0
198101,26.9,-2.8
198201,23.0,-6.7
198301,31.3,1.6
198401,25.4,-4.3
198501,22.3,-7.4
198601,31.0,1.3
198701,29.9,0.2
198801,27.0,-2.7
198901,37.5,7.8
199001,38.9,9.2
199101,29.2,-0.5
199201,33.5,3.8
199301,32.8,3.1
199401,24.2,-5.5
199501,30.6,0.9
199601,28.3,-1.4
199701,27.6,-2.1
199801,36.6,6.9
199901,31.6,1.9
200001,30.8,1.1
200101,29.1,-0.6
200201,35.6,5.9
200301,25.7,-4.0
200401,28.5,-1.2
200501,33.8,4.1
200601,40.7,11.0
200701,33.9,4.2
200801,30.6,0.9
200901,26.1,-3.6
201001,26.2,-3.5
201101,26.6,-3.1
201201,35.5,5.8
201301,33.4,3.7
201401,23.6,-6.1
201501,29.2,-0.5
201601,29.6,-0.1
201701,36.7,7.0
201801,27.3,-2.4
201901,30.8,1.1
202001,36.2,6.5
202101,33.2,3.5
202201,27.4,-2.3
