Ohio Valley Climate Region, Average Temperature, November
189511,41.7,-1.3
189611,44.3,1.3
189711,42.9,-0.1
189811,39.3,-3.7
189911,46.5,3.5
190011,42.9,-0.1
190111,39.2,-3.8
190211,49.4,6.4
190311,38.9,-4.1
190411,42.4,-0.6
190511,42.7,-0.3
190611,41.6,-1.4
190711,40.6,-2.4
190811,44.3,1.3
190911,50.7,7.7
191011,38.4,-4.6
191111,38.1,-4.9
191211,42.6,-0.4
191311,47.3,4.3
191411,44.2,1.2
191511,46.3,3.3
191611,44.2,1.2
191711,42.0,-1.0
191811,42.8,-0.2
191911,42.3,-0.7
192011,40.5,-2.5
192111,44.4,1.4
192211,44.8,1.8
192311,42.9,-0.1
192411,43.7,0.7
192511,40.6,-2.4
192611,38.9,-4.1
192711,46.7,3.7
192811,43.2,0.2
192911,39.4,-3.6
193011,43.2,0.2
193111,50.8,7.8
193211,38.9,-4.1
193311,42.0,-1.0
193411,46.5,3.5
193511,42.4,-0.6
193611,39.6,-3.4
193711,39.4,-3.6
193811,44.4,1.4
193911,40.8,-2.2
194011,41.1,-1.9
194111,43.5,0.5
194211,45.4,2.4
194311,40.2,-2.8
194411,43.8,0.8
194511,44.1,1.1
194611,46.4,3.4
194711,39.6,-3.4
194811,45.8,2.8
194911,43.5,0.5
195011,37.6,-5.4
195111,36.5,-6.5
195211,43.3,0.3
195311,43.6,0.6
195411,42.8,-0.2
195511,39.7,-3.3
195611,42.3,-0.7
195711,42.5,-0.5
195811,45.6,2.6
195911,38.4,-4.6
196011,43.8,0.8
196111,43.3,0.3
196211,42.3,-0.7
196311,45.3,2.3
196411,46.5,3.5
196511,45.9,2.9
196611,44.7,1.7
196711,39.6,-3.4
196811,42.9,-0.1
196911,40.5,-2.5
197011,42.2,-0.8
197111,43.5,0.5
197211,40.2,-2.8
197311,46.0,3.0
197411,43.8,0.8
197511,47.0,4.0
197611,35.6,-7.4
197711,45.0,2.0
197811,46.0,3.0
197911,43.1,0.1
198011,42.3,-0.7
198111,44.8,1.8
198211,45.0,2.0
198311,45.3,2.3
198411,42.1,-0.9
198511,47.1,4.1
198611,41.8,-1.2
198711,47.1,4.1
198811,44.7,1.7
198911,43.3,0.3
199011,48.3,5.3
199111,40.3,-2.7
199211,43.2,0.2
199311,41.9,-1.1
199411,48.3,5.3
199511,38.7,-4.3
199611,38.1,-4.9
199711,40.5,-2.5
199811,46.8,3.8
199911,49.7,6.7
200011,41.3,-1.7
200111,50.2,7.2
200211,41.7,-1.3
200311,47.6,4.6
200411,47.8,4.8
200511,46.4,3.4
200611,45.8,2.8
200711,44.2,1.2
200811,42.2,-0.8
200911,48.2,5.2
201011,45.2,2.2
201111,47.8,4.8
201211,42.5,-0.5
201311,41.0,-2.0
201411,37.7,-5.3
201511,48.8,5.8
201611,49.0,6.0
201711,44.8,1.8
201811,38.8,-4.2
201911,39.2,-3.8
202011,48.6,5.6
202111,42.8,-0.2
