Ohio Valley Climate Region, Average Temperature, December
189512,34.3,1.3
189612,35.8,2.8
189712,31.9,-1.1
189812,29.4,-3.6
189912,30.7,-2.3
190012,34.1,1.1
190112,28.3,-4.7
190212,31.2,-1.8
190312,26.7,-6.3
190412,31.4,-1.6
190512,32.9,-0.1
190612,34.8,1.8
190712,34.8,1.8
190812,35.4,2.4
190912,25.1,-7.9
191012,28.2,-4.8
191112,36.8,3.8
191212,34.6,1.6
191312,36.5,3.5
191412,27.1,-5.9
191512,32.3,-0.7
191612,30.5,-2.5
191712,23.4,-9.6
191812,39.8,6.8
191912,28.3,-4.7
192012,34.5,1.5
192112,36.1,3.1
192212,35.3,2.3
192312,41.5,8.5
192412,29.2,-3.8
192512,30.3,-2.7
192612,31.8,-1.2
192712,31.5,-1.5
192812,35.1,2.1
192912,33.5,0.5
193012,31.8,-1.2
193112,41.3,8.3
193212,32.4,-0.6
193312,37.9,4.9
193412,31.1,-1.9
193512,27.0,-6.0
193612,36.4,3.4
193712,30.5,-2.5
193812,33.6,0.6
193912,36.1,3.1
194012,37.8,4.8
194112,38.2,5.2
194212,30.3,-2.7
194312,30.6,-2.4
194412,27.6,-5.4
194512,26.7,-6.3
194612,37.8,4.8
194712,34.3,1.3
194812,35.8,2.8
194912,36.7,3.7
195012,27.0,-6.0
195112,33.0,0.0
195212,35.0,2.0
195312,34.1,1.1
195412,33.5,0.5
195512,30.6,-2.4
195612,39.3,6.3
195712,37.8,4.8
195812,27.5,-5.5
195912,37.1,4.1
196012,28.0,-5.0
196112,31.5,-1.5
196212,29.0,-4.0
196312,22.6,-10.4
196412,33.4,0.4
196512,38.7,5.7
196612,32.8,-0.2
196712,35.4,2.4
196812,31.2,-1.8
196912,30.0,-3.0
197012,36.2,3.2
197112,40.3,7.3
197212,33.0,0.0
197312,32.8,-0.2
197412,34.0,1.0
197512,34.9,1.9
197612,28.1,-4.9
197712,30.4,-2.6
197812,33.6,0.6
197912,35.7,2.7
198012,33.6,0.6
198112,30.5,-2.5
198212,40.6,7.6
198312,23.4,-9.6
198412,40.4,7.4
198512,26.3,-6.7
198612,34.2,1.2
198712,36.6,3.6
198812,34.0,1.0
198912,21.8,-11.2
199012,35.6,2.6
199112,37.0,4.0
199212,34.1,1.1
199312,33.9,0.9
199412,38.6,5.6
199512,31.0,-2.0
199612,35.7,2.7
199712,34.6,1.6
199812,37.9,4.9
199912,35.9,2.9
200012,22.7,-10.3
200112,39.1,6.1
200212,34.3,1.3
200312,35.2,2.2
200412,33.9,0.9
200512,30.0,-3.0
200612,38.8,5.8
200712,35.4,2.4
200812,32.4,-0.6
200912,32.1,-0.9
201012,27.3,-5.7
201112,38.2,5.2
201212,39.7,6.7
201312,32.4,-0.6
201412,37.1,4.1
201512,44.7,11.7
201612,33.3,0.3
201712,33.0,0.0
201812,37.2,4.2
201912,38.9,5.9
202012,35.4,2.4
202112,43.8,10.8
