Ohio Valley Climate Region, Average Temperature, February
189502,21.9,-11.0
189602,33.5,0.6
189702,34.7,1.8
189802,33.3,0.4
189902,22.2,-10.7
190002,27.5,-5.4
190102,26.2,-6.7
190202,23.6,-9.3
190302,31.3,-1.6
190402,28.2,-4.7
190502,22.2,-10.7
190602,30.7,-2.2
190702,31.5,-1.4
190802,31.2,-1.7
190902,37.2,4.3
191002,28.5,-4.4
191102,37.5,4.6
191202,25.8,-7.1
191302,29.6,-3.3
191402,26.3,-6.6
191502,37.6,4.7
191602,30.1,-2.8
191702,29.1,-3.8
191802,34.1,1.2
191902,34.1,1.2
192002,31.5,-1.4
192102,37.6,4.7
192202,35.7,2.8
192302,29.0,-3.9
192402,31.7,-1.2
192502,38.7,5.8
192602,36.3,3.4
192702,40.4,7.5
192802,34.2,1.3
192902,26.2,-6.7
193002,41.4,8.5
193102,38.0,5.1
193202,41.0,8.1
193302,32.2,-0.7
193402,27.2,-5.7
193502,35.0,2.1
193602,24.0,-8.9
193702,32.2,-0.7
193802,40.2,7.3
193902,34.0,1.1
194002,31.9,-1.0
194102,29.4,-3.5
194202,29.7,-3.2
194302,35.4,2.5
194402,36.3,3.4
194502,33.9,1.0
194602,36.5,3.6
194702,25.6,-7.3
194802,32.9,0.0
194902,36.3,3.4
195002,34.7,1.8
195102,33.6,0.7
195202,37.4,4.5
195302,37.4,4.5
195402,41.0,8.1
195502,33.4,0.5
195602,36.1,3.2
195702,38.6,5.7
195802,24.5,-8.4
195902,33.7,0.8
196002,29.8,-3.1
196102,37.3,4.4
196202,34.8,1.9
196302,26.3,-6.6
196402,30.9,-2.0
196502,31.8,-1.1
196602,31.9,-1.0
196702,29.1,-3.8
196802,27.3,-5.6
196902,33.0,0.1
197002,31.3,-1.6
197102,31.8,-1.1
197202,31.5,-1.4
197302,32.7,-0.2
197402,34.5,1.6
197502,33.5,0.6
197602,41.1,8.2
197702,31.5,-1.4
197802,20.3,-12.6
197902,22.9,-10.0
198002,26.6,-6.3
198102,34.1,1.2
198202,30.4,-2.5
198302,35.9,3.0
198402,38.6,5.7
198502,28.4,-4.5
198602,34.3,1.4
198702,36.9,4.0
198802,30.4,-2.5
198902,28.6,-4.3
199002,39.9,7.0
199102,37.4,4.5
199202,39.4,6.5
199302,30.5,-2.4
199402,32.4,-0.5
199502,32.6,-0.3
199602,33.4,0.5
199702,37.7,4.8
199802,40.9,8.0
199902,39.5,6.6
200002,40.1,7.2
200102,36.1,3.2
200202,36.8,3.9
200302,30.2,-2.7
200402,33.1,0.2
200502,38.1,5.2
200602,33.7,0.8
200702,26.1,-6.8
200802,32.1,-0.8
200902,35.9,3.0
201002,28.2,-4.7
201102,34.4,1.5
201202,38.6,5.7
201302,33.4,0.5
201402,27.1,-5.8
201502,23.4,-9.5
201602,36.9,4.0
201702,43.7,10.8
201802,38.4,5.5
201902,35.7,2.8
202002,36.0,3.1
202102,27.1,-5.8
202202,33.4,0.5
