Ohio Valley Climate Region, Average Temperature, March
189503,40.2,-2.2
189603,36.9,-5.5
189703,44.0,1.6
189803,46.0,3.6
189903,38.4,-4.0
190003,37.9,-4.5
190103,41.9,-0.5
190203,43.9,1.5
190303,47.7,5.3
190403,42.8,0.4
190503,47.2,4.8
190603,33.9,-8.5
190703,50.2,7.8
190803,47.1,4.7
190903,41.1,-1.3
191003,51.9,9.5
191103,42.9,0.5
191203,35.2,-7.2
191303,41.1,-1.3
191403,39.0,-3.4
191503,34.9,-7.5
191603,40.2,-2.2
191703,42.6,0.2
191803,48.2,5.8
191903,43.9,1.5
192003,42.9,0.5
192103,51.6,9.2
192203,44.1,1.7
192303,40.1,-2.3
192403,37.4,-5.0
192503,45.0,2.6
192603,36.3,-6.1
192703,44.6,2.2
192803,42.0,-0.4
192903,47.5,5.1
193003,40.8,-1.6
193103,37.7,-4.7
193203,36.3,-6.1
193303,41.5,-0.9
193403,38.8,-3.6
193503,48.8,6.4
193603,46.1,3.7
193703,38.2,-4.2
193803,49.6,7.2
193903,44.4,2.0
194003,39.4,-3.0
194103,36.8,-5.6
194203,44.1,1.7
194303,38.5,-3.9
194403,39.8,-2.6
194503,51.9,9.5
194603,52.4,10.0
194703,34.8,-7.6
194803,43.4,1.0
194903,42.0,-0.4
195003,38.7,-3.7
195103,40.4,-2.0
195203,40.6,-1.8
195303,44.5,2.1
195403,40.2,-2.2
195503,43.1,0.7
195603,42.1,-0.3
195703,41.5,-0.9
195803,37.3,-5.1
195903,41.4,-1.0
196003,28.4,-14.0
196103,45.0,2.6
196203,38.6,-3.8
196303,46.0,3.6
196403,41.4,-1.0
196503,35.1,-7.3
196603,44.1,1.7
196703,45.6,3.2
196803,43.8,1.4
196903,36.2,-6.2
197003,38.9,-3.5
197103,38.9,-3.5
197203,41.9,-0.5
197303,49.6,7.2
197403,46.3,3.9
197503,38.6,-3.8
197603,47.9,5.5
197703,47.4,5.0
197803,37.3,-5.1
197903,43.7,1.3
198003,38.5,-3.9
198103,41.7,-0.7
198203,43.5,1.1
198303,43.5,1.1
198403,36.8,-5.6
198503,46.3,3.9
198603,45.0,2.6
198703,45.8,3.4
198803,43.0,0.6
198903,44.0,1.6
199003,46.6,4.2
199103,46.1,3.7
199203,44.0,1.6
199303,39.4,-3.0
199403,42.9,0.5
199503,45.6,3.2
199603,37.2,-5.2
199703,45.8,3.4
199803,42.9,0.5
199903,39.8,-2.6
200003,47.7,5.3
200103,39.2,-3.2
200203,41.5,-0.9
200303,44.8,2.4
200403,47.0,4.6
200503,40.8,-1.6
200603,43.8,1.4
200703,50.1,7.7
200803,42.0,-0.4
200903,45.7,3.3
201003,44.6,2.2
201103,44.2,1.8
201203,56.3,13.9
201303,37.3,-5.1
201403,38.0,-4.4
201503,41.6,-0.8
201603,49.5,7.1
201703,45.5,3.1
201803,41.6,-0.8
201903,40.3,-2.1
202003,48.0,5.6
202103,48.3,5.9
202203,45.9,3.5
