Ohio Valley Climate Region, Average Temperature, April
189504,55.0,2.0
189604,60.0,7.0
189704,52.2,-0.8
189804,49.9,-3.1
189904,53.9,0.9
190004,53.7,0.7
190104,49.7,-3.3
190204,51.2,-1.8
190304,52.9,-0.1
190404,47.6,-5.4
190504,52.8,-0.2
190604,55.8,2.8
190704,45.4,-7.6
190804,54.1,1.1
190904,52.1,-0.9
191004,53.4,0.4
191104,51.0,-2.0
191204,54.7,1.7
191304,52.8,-0.2
191404,53.0,0.0
191504,57.8,4.8
191604,51.3,-1.7
191704,51.7,-1.3
191804,50.0,-3.0
191904,53.2,0.2
192004,49.0,-4.0
192104,55.4,2.4
192204,55.2,2.2
192304,51.6,-1.4
192404,53.6,0.6
192504,58.1,5.1
192604,47.7,-5.3
192704,54.5,1.5
192804,49.2,-3.8
192904,55.8,2.8
193004,55.6,2.6
193104,52.6,-0.4
193204,53.3,0.3
193304,52.7,-0.3
193404,53.4,0.4
193504,50.6,-2.4
193604,49.7,-3.3
193704,52.1,-0.9
193804,55.0,2.0
193904,50.3,-2.7
194004,50.8,-2.2
194104,57.1,4.1
194204,56.3,3.3
194304,51.2,-1.8
194404,50.9,-2.1
194504,54.7,1.7
194604,55.7,2.7
194704,53.7,0.7
194804,57.5,4.5
194904,51.6,-1.4
195004,48.4,-4.6
195104,50.2,-2.8
195204,52.8,-0.2
195304,49.9,-3.1
195404,58.8,5.8
195504,58.6,5.6
195604,51.0,-2.0
195704,55.0,2.0
195804,53.2,0.2
195904,53.6,0.6
196004,56.0,3.0
196104,48.2,-4.8
196204,51.0,-2.0
196304,55.5,2.5
196404,55.7,2.7
196504,54.9,1.9
196604,50.9,-2.1
196704,56.2,3.2
196804,54.1,1.1
196904,54.6,1.6
197004,54.9,1.9
197104,52.5,-0.5
197204,52.9,-0.1
197304,51.7,-1.3
197404,54.7,1.7
197504,50.3,-2.7
197604,54.5,1.5
197704,57.6,4.6
197804,54.3,1.3
197904,51.7,-1.3
198004,51.6,-1.4
198104,58.5,5.5
198204,49.0,-4.0
198304,48.4,-4.6
198404,51.4,-1.6
198504,57.4,4.4
198604,56.3,3.3
198704,53.1,0.1
198804,53.0,0.0
198904,52.5,-0.5
199004,52.3,-0.7
199104,56.8,3.8
199204,53.0,0.0
199304,50.9,-2.1
199404,55.2,2.2
199504,52.7,-0.3
199604,50.8,-2.2
199704,48.9,-4.1
199804,53.5,0.5
199904,56.1,3.1
200004,52.6,-0.4
200104,58.2,5.2
200204,55.9,2.9
200304,55.3,2.3
200404,54.5,1.5
200504,55.5,2.5
200604,58.5,5.5
200704,51.4,-1.6
200804,53.5,0.5
200904,53.2,0.2
201004,58.7,5.7
201104,55.7,2.7
201204,55.6,2.6
201304,52.5,-0.5
201404,54.4,1.4
201504,55.6,2.6
201604,54.9,1.9
201704,58.6,5.6
201804,47.7,-5.3
201904,55.2,2.2
202004,51.2,-1.8
202104,53.4,0.4
202204,51.9,-1.1
