Ohio Valley Climate Region, Average Temperature, May
189505,63.0,0.1
189605,69.4,6.5
189705,59.8,-3.1
189805,64.2,1.3
189905,65.6,2.7
190005,64.5,1.6
190105,61.9,-1.0
190205,67.2,4.3
190305,65.2,2.3
190405,62.4,-0.5
190505,64.4,1.5
190605,63.9,1.0
190705,58.0,-4.9
190805,64.3,1.4
190905,61.2,-1.7
191005,58.7,-4.2
191105,67.6,4.7
191205,64.9,2.0
191305,63.5,0.6
191405,64.4,1.5
191505,61.7,-1.2
191605,64.5,1.6
191705,56.8,-6.1
191805,67.3,4.4
191905,60.8,-2.1
192005,61.5,-1.4
192105,64.1,1.2
192205,65.6,2.7
192305,61.0,-1.9
192405,57.1,-5.8
192505,59.1,-3.8
192605,64.0,1.1
192705,62.7,-0.2
192805,62.1,-0.8
192905,60.8,-2.1
193005,64.0,1.1
193105,60.1,-2.8
193205,63.6,0.7
193305,65.5,2.6
193405,66.3,3.4
193505,59.5,-3.4
193605,66.5,3.6
193705,63.4,0.5
193805,63.1,0.2
193905,65.1,2.2
194005,60.3,-2.6
194105,66.0,3.1
194205,63.3,0.4
194305,63.3,0.4
194405,67.7,4.8
194505,58.7,-4.2
194605,60.6,-2.3
194705,60.2,-2.7
194805,61.6,-1.3
194905,64.7,1.8
195005,64.4,1.5
195105,63.7,0.8
195205,62.8,-0.1
195305,65.2,2.3
195405,58.6,-4.3
195505,65.1,2.2
195605,64.6,1.7
195705,63.6,0.7
195805,62.8,-0.1
195905,66.9,4.0
196005,60.4,-2.5
196105,58.7,-4.2
196205,69.7,6.8
196305,61.8,-1.1
196405,66.0,3.1
196505,67.7,4.8
196605,59.8,-3.1
196705,59.2,-3.7
196805,60.1,-2.8
196905,63.3,0.4
197005,65.6,2.7
197105,59.5,-3.4
197205,63.4,0.5
197305,59.6,-3.3
197405,62.7,-0.2
197505,65.9,3.0
197605,59.2,-3.7
197705,67.7,4.8
197805,61.4,-1.5
197905,61.7,-1.2
198005,63.2,0.3
198105,59.4,-3.5
198205,67.2,4.3
198305,59.7,-3.2
198405,59.8,-3.1
198505,64.4,1.5
198605,64.4,1.5
198705,68.0,5.1
198805,63.8,0.9
198905,59.9,-3.0
199005,60.2,-2.7
199105,68.8,5.9
199205,61.0,-1.9
199305,63.0,0.1
199405,59.8,-3.1
199505,61.3,-1.6
199605,63.6,0.7
199705,58.0,-4.9
199805,67.4,4.5
199905,63.8,0.9
200005,65.8,2.9
200105,64.7,1.8
200205,60.2,-2.7
200305,62.4,-0.5
200405,66.9,4.0
200505,60.7,-2.2
200605,62.2,-0.7
200705,66.9,4.0
200805,60.4,-2.5
200905,63.3,0.4
201005,65.2,2.3
201105,63.0,0.1
201205,68.4,5.5
201305,63.8,0.9
201405,64.3,1.4
201505,65.6,2.7
201605,62.1,-0.8
201705,63.0,0.1
201805,70.8,7.9
201905,65.0,2.1
202005,61.0,-1.9
202105,61.3,-1.6
