Ohio Valley Climate Region, Average Temperature, June
189506,73.5,2.0
189606,71.3,-0.2
189706,71.4,-0.1
189806,73.8,2.3
189906,73.5,2.0
190006,71.6,0.1
190106,74.3,2.8
190206,70.2,-1.3
190306,66.3,-5.2
190406,70.1,-1.4
190506,72.6,1.1
190606,71.3,-0.2
190706,68.2,-3.3
190806,70.7,-0.8
190906,72.2,0.7
191006,68.6,-2.9
191106,74.7,3.2
191206,68.4,-3.1
191306,73.0,1.5
191406,75.8,4.3
191506,69.1,-2.4
191606,67.7,-3.8
191706,69.0,-2.5
191806,72.3,0.8
191906,74.4,2.9
192006,70.7,-0.8
192106,75.3,3.8
192206,73.4,1.9
192306,72.2,0.7
192406,70.9,-0.6
192506,74.8,3.3
192606,68.5,-3.0
192706,68.0,-3.5
192806,66.9,-4.6
192906,69.5,-2.0
193006,71.0,-0.5
193106,73.9,2.4
193206,73.1,1.6
193306,75.7,4.2
193406,77.1,5.6
193506,68.5,-3.0
193606,73.3,1.8
193706,72.0,0.5
193806,69.9,-1.6
193906,73.3,1.8
194006,72.0,0.5
194106,72.6,1.1
194206,72.5,1.0
194306,75.4,3.9
194406,75.0,3.5
194506,68.9,-2.6
194606,71.4,-0.1
194706,70.1,-1.4
194806,71.6,0.1
194906,73.7,2.2
195006,70.5,-1.0
195106,70.4,-1.1
195206,77.3,5.8
195306,76.2,4.7
195406,74.4,2.9
195506,67.4,-4.1
195606,72.1,0.6
195706,72.4,0.9
195806,68.8,-2.7
195906,71.6,0.1
196006,70.3,-1.2
196106,69.1,-2.4
196206,71.4,-0.1
196306,72.1,0.6
196406,72.3,0.8
196506,70.9,-0.6
196606,70.7,-0.8
196706,71.6,0.1
196806,71.9,0.4
196906,70.2,-1.3
197006,70.5,-1.0
197106,74.6,3.1
197206,68.5,-3.0
197306,72.7,1.2
197406,67.5,-4.0
197506,71.9,0.4
197606,70.5,-1.0
197706,70.9,-0.6
197806,71.7,0.2
197906,70.6,-0.9
198006,70.6,-0.9
198106,72.8,1.3
198206,67.8,-3.7
198306,71.0,-0.5
198406,73.9,2.4
198506,69.3,-2.2
198606,73.0,1.5
198706,73.8,2.3
198806,72.5,1.0
198906,70.4,-1.1
199006,71.6,0.1
199106,73.9,2.4
199206,68.2,-3.3
199306,70.7,-0.8
199406,73.7,2.2
199506,71.5,0.0
199606,71.7,0.2
199706,70.0,-1.5
199806,72.2,0.7
199906,72.4,0.9
200006,71.3,-0.2
200106,70.3,-1.2
200206,73.5,2.0
200306,68.1,-3.4
200406,70.4,-1.1
200506,73.9,2.4
200606,71.0,-0.5
200706,72.7,1.2
200806,73.0,1.5
200906,72.7,1.2
201006,75.5,4.0
201106,73.5,2.0
201206,72.4,0.9
201306,71.8,0.3
201406,72.9,1.4
201506,72.8,1.3
201606,74.4,2.9
201706,71.8,0.3
201806,74.7,3.2
201906,71.0,-0.5
202006,72.8,1.3
202106,73.3,1.8
