Ohio Valley Climate Region, Average Temperature, July
189507,73.2,-2.4
189607,75.5,-0.1
189707,76.8,1.2
189807,75.9,0.3
189907,75.2,-0.4
190007,75.6,0.0
190107,81.1,5.5
190207,76.0,0.4
190307,75.4,-0.2
190407,73.0,-2.6
190507,73.6,-2.0
190607,73.4,-2.2
190707,75.6,0.0
190807,75.1,-0.5
190907,73.4,-2.2
191007,75.3,-0.3
191107,75.4,-0.2
191207,75.7,0.1
191307,77.6,2.0
191407,77.4,1.8
191507,73.3,-2.3
191607,78.5,2.9
191707,74.5,-1.1
191807,73.2,-2.4
191907,77.3,1.7
192007,73.5,-2.1
192107,78.9,3.3
192207,74.6,-1.0
192307,75.3,-0.3
192407,71.9,-3.7
192507,75.2,-0.4
192607,75.6,0.0
192707,74.1,-1.5
192807,75.4,-0.2
192907,75.3,-0.3
193007,78.3,2.7
193107,78.4,2.8
193207,76.8,1.2
193307,76.5,0.9
193407,81.0,5.4
193507,77.9,2.3
193607,80.6,5.0
193707,74.9,-0.7
193807,76.2,0.6
193907,75.8,0.2
194007,75.2,-0.4
194107,76.7,1.1
194207,76.4,0.8
194307,76.7,1.1
194407,75.6,0.0
194507,73.6,-2.0
194607,75.4,-0.2
194707,71.7,-3.9
194807,75.5,-0.1
194907,77.8,2.2
195007,71.9,-3.7
195107,74.8,-0.8
195207,77.7,2.1
195307,76.3,0.7
195407,78.4,2.8
195507,78.8,3.2
195607,74.7,-0.9
195707,75.8,0.2
195807,74.5,-1.1
195907,74.6,-1.0
196007,73.3,-2.3
196107,74.0,-1.6
196207,73.9,-1.7
196307,74.1,-1.5
196407,75.5,-0.1
196507,73.6,-2.0
196607,77.7,2.1
196707,71.8,-3.8
196807,74.6,-1.0
196907,76.8,1.2
197007,74.5,-1.1
197107,72.7,-2.9
197207,74.0,-1.6
197307,75.4,-0.2
197407,75.9,0.3
197507,74.5,-1.1
197607,74.1,-1.5
197707,77.4,1.8
197807,75.5,-0.1
197907,73.4,-2.2
198007,78.9,3.3
198107,75.6,0.0
198207,75.8,0.2
198307,77.9,2.3
198407,73.0,-2.6
198507,74.6,-1.0
198607,77.8,2.2
198707,76.7,1.1
198807,76.8,1.2
198907,75.1,-0.5
199007,74.4,-1.2
199107,76.6,1.0
199207,74.2,-1.4
199307,77.4,1.8
199407,74.4,-1.2
199507,76.0,0.4
199607,73.0,-2.6
199707,75.3,-0.3
199807,75.4,-0.2
199907,78.6,3.0
200007,73.6,-2.0
200107,75.4,-0.2
200207,77.6,2.0
200307,74.9,-0.7
200407,73.3,-2.3
200507,76.6,1.0
200607,76.6,1.0
200707,73.6,-2.0
200807,74.6,-1.0
200907,71.0,-4.6
201007,77.6,2.0
201107,79.6,4.0
201207,80.6,5.0
201307,73.6,-2.0
201407,71.2,-4.4
201507,75.1,-0.5
201607,76.7,1.1
201707,76.2,0.6
201807,75.9,0.3
201907,76.9,1.3
202007,77.9,2.3
202107,75.0,-0.6
