Ohio Valley Climate Region, Average Temperature, September
189509,70.6,3.5
189609,64.7,-2.4
189709,70.3,3.2
189809,69.9,2.8
189909,65.8,-1.3
190009,70.7,3.6
190109,66.4,-0.7
190209,63.7,-3.4
190309,66.1,-1.0
190409,67.8,0.7
190509,67.8,0.7
190609,70.6,3.5
190709,66.6,-0.5
190809,69.2,2.1
190909,65.5,-1.6
191009,68.3,1.2
191109,71.0,3.9
191209,68.4,1.3
191309,66.8,-0.3
191409,66.3,-0.8
191509,68.6,1.5
191609,65.2,-1.9
191709,65.0,-2.1
191809,60.4,-6.7
191909,68.8,1.7
192009,68.5,1.4
192109,72.0,4.9
192209,69.7,2.6
192309,67.1,0.0
192409,62.3,-4.8
192509,73.3,6.2
192609,69.0,1.9
192709,69.8,2.7
192809,63.0,-4.1
192909,66.5,-0.6
193009,69.5,2.4
193109,72.6,5.5
193209,66.6,-0.5
193309,72.2,5.1
193409,66.3,-0.8
193509,66.4,-0.7
193609,71.1,4.0
193709,65.7,-1.4
193809,68.2,1.1
193909,72.0,4.9
194009,65.3,-1.8
194109,70.1,3.0
194209,65.6,-1.5
194309,63.7,-3.4
194409,67.0,-0.1
194509,68.6,1.5
194609,66.4,-0.7
194709,68.6,1.5
194809,67.8,0.7
194909,61.8,-5.3
195009,64.8,-2.3
195109,64.7,-2.4
195209,66.0,-1.1
195309,68.1,1.0
195409,70.5,3.4
195509,69.5,2.4
195609,65.7,-1.4
195709,66.1,-1.0
195809,66.6,-0.5
195909,68.7,1.6
196009,69.7,2.6
196109,68.8,1.7
196209,64.2,-2.9
196309,66.0,-1.1
196409,66.7,-0.4
196509,67.7,0.6
196609,64.0,-3.1
196709,63.0,-4.1
196809,65.8,-1.3
196909,65.9,-1.2
197009,70.0,2.9
197109,69.4,2.3
197209,68.6,1.5
197309,68.9,1.8
197409,61.9,-5.2
197509,62.8,-4.3
197609,64.4,-2.7
197709,68.8,1.7
197809,70.4,3.3
197909,65.9,-1.2
198009,69.3,2.2
198109,65.1,-2.0
198209,65.1,-2.0
198309,67.6,0.5
198409,64.7,-2.4
198509,66.8,-0.3
198609,69.6,2.5
198709,67.0,-0.1
198809,66.9,-0.2
198909,64.6,-2.5
199009,68.3,1.2
199109,66.9,-0.2
199209,65.3,-1.8
199309,63.8,-3.3
199409,65.0,-2.1
199509,64.5,-2.6
199609,64.8,-2.3
199709,66.4,-0.7
199809,71.4,4.3
199909,66.3,-0.8
200009,66.6,-0.5
200109,65.0,-2.1
200209,70.2,3.1
200309,64.8,-2.3
200409,67.8,0.7
200509,70.5,3.4
200609,64.1,-3.0
200709,70.1,3.0
200809,68.2,1.1
200909,66.8,-0.3
201009,68.2,1.1
201109,65.1,-2.0
201209,65.9,-1.2
201309,68.3,1.2
201409,66.3,-0.8
201509,70.0,2.9
201609,71.2,4.1
201709,68.2,1.1
201809,71.4,4.3
201909,73.0,5.9
202009,66.6,-0.5
202109,69.1,2.0
